worker_id,role_id,worker_age,worker_experience,worker_fatigue,worker_performance,role_difficulty,skill_match_count,skill_match_percentage,success
1,1,28,3.5,0.2,0.85,0.6,3,1.0,1
1,2,28,3.5,0.3,0.85,0.8,2,0.67,0
2,1,35,7.2,0.1,0.92,0.6,3,1.0,1
2,3,35,7.2,0.4,0.92,0.5,2,0.67,1
3,2,22,1.0,0.5,0.65,0.8,1,0.33,0
3,3,22,1.0,0.3,0.65,0.5,2,0.67,1
4,1,45,12.0,0.6,0.78,0.6,2,0.67,1
4,4,45,12.0,0.7,0.78,0.9,1,0.33,0
5,2,30,5.0,0.2,0.88,0.8,3,1.0,1
5,4,30,5.0,0.3,0.88,0.9,2,0.67,1
6,3,26,2.5,0.4,0.72,0.5,3,1.0,1
6,1,26,2.5,0.2,0.72,0.6,2,0.67,1
7,4,38,9.0,0.5,0.95,0.9,3,1.0,1
7,2,38,9.0,0.6,0.95,0.8,2,0.67,0
8,1,24,1.5,0.3,0.68,0.6,2,0.67,1
8,3,24,1.5,0.4,0.68,0.5,1,0.33,0
9,2,32,6.0,0.2,0.82,0.8,3,1.0,1
9,4,32,6.0,0.5,0.82,0.9,2,0.67,1
10,3,29,4.0,0.3,0.79,0.5,3,1.0,1
10,1,29,4.0,0.2,0.79,0.6,2,0.67,1
